"DATE","RCONSM98M11","RCONSM98M12","RCONSM99M1","RCONSM99M2","RCONSM99M3","RCONSM99M4","RCONSM99M5","RCONSM99M6","RCONSM99M7","RCONSM99M8","RCONSM99M9","RCONSM99M10","RCONSM99M11","RCONSM99M12","RCONSM00M1","RCONSM00M2","RCONSM00M3","RCONSM00M4","RCONSM00M5","RCONSM00M6","RCONSM00M7","RCONSM00M8","RCONSM00M9","RCONSM00M10","RCONSM00M11","RCONSM00M12","RCONSM01M1","RCONSM01M2","RCONSM01M3","RCONSM01M4","RCONSM01M5","RCONSM01M6","RCONSM01M7","RCONSM01M8","RCONSM01M9","RCONSM01M10","RCONSM01M11","RCONSM01M12","RCONSM02M1","RCONSM02M2","RCONSM02M3","RCONSM02M4","RCONSM02M5","RCONSM02M6","RCONSM02M7","RCONSM02M8","RCONSM02M9","RCONSM02M10","RCONSM02M11","RCONSM02M12","RCONSM03M1","RCONSM03M2","RCONSM03M3","RCONSM03M4","RCONSM03M5","RCONSM03M6","RCONSM03M7","RCONSM03M8","RCONSM03M9","RCONSM03M10","RCONSM03M11","RCONSM03M12","RCONSM04M1","RCONSM04M2","RCONSM04M3","RCONSM04M4","RCONSM04M5","RCONSM04M6","RCONSM04M7","RCONSM04M8","RCONSM04M9","RCONSM04M10","RCONSM04M11","RCONSM04M12","RCONSM05M1","RCONSM05M2","RCONSM05M3","RCONSM05M4","RCONSM05M5","RCONSM05M6","RCONSM05M7","RCONSM05M8","RCONSM05M9","RCONSM05M10","RCONSM05M11","RCONSM05M12","RCONSM06M1","RCONSM06M2","RCONSM06M3","RCONSM06M4","RCONSM06M5","RCONSM06M6","RCONSM06M7","RCONSM06M8","RCONSM06M9","RCONSM06M10","RCONSM06M11","RCONSM06M12","RCONSM07M1","RCONSM07M2","RCONSM07M3","RCONSM07M4","RCONSM07M5","RCONSM07M6","RCONSM07M7","RCONSM07M8","RCONSM07M9","RCONSM07M10","RCONSM07M11","RCONSM07M12","RCONSM08M1","RCONSM08M2","RCONSM08M3","RCONSM08M4","RCONSM08M5","RCONSM08M6","RCONSM08M7","RCONSM08M8","RCONSM08M9","RCONSM08M10","RCONSM08M11","RCONSM08M12","RCONSM09M1","RCONSM09M2","RCONSM09M3","RCONSM09M4","RCONSM09M5","RCONSM09M6","RCONSM09M7","RCONSM09M8","RCONSM09M9","RCONSM09M10","RCONSM09M11","RCONSM09M12","RCONSM10M1","RCONSM10M2","RCONSM10M3","RCONSM10M4","RCONSM10M5","RCONSM10M6","RCONSM10M7","RCONSM10M8","RCONSM10M9","RCONSM10M10","RCONSM10M11","RCONSM10M12","RCONSM11M1","RCONSM11M2","RCONSM11M3","RCONSM11M4","RCONSM11M5","RCONSM11M6","RCONSM11M7","RCONSM11M8","RCONSM11M9","RCONSM11M10","RCONSM11M11","RCONSM11M12","RCONSM12M1","RCONSM12M2","RCONSM12M3","RCONSM12M4","RCONSM12M5","RCONSM12M6","RCONSM12M7","RCONSM12M8","RCONSM12M9","RCONSM12M10","RCONSM12M11","RCONSM12M12","RCONSM13M1","RCONSM13M2","RCONSM13M3","RCONSM13M4","RCONSM13M5","RCONSM13M6","RCONSM13M7","RCONSM13M8","RCONSM13M9","RCONSM13M10","RCONSM13M11","RCONSM13M12","RCONSM14M1","RCONSM14M2","RCONSM14M3","RCONSM14M4","RCONSM14M5","RCONSM14M6","RCONSM14M7","RCONSM14M8","RCONSM14M9","RCONSM14M10","RCONSM14M11","RCONSM14M12","RCONSM15M1","RCONSM15M2","RCONSM15M3","RCONSM15M4","RCONSM15M5"
"1959:01","667.029","667.029","667.029","667.029","667.029","667.029","667.029","667.029","667.029","667.029","667.029","667.029","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","790.5","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1067.438","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1068.391","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.371","1147.402","1147.402","1147.402","1147.402","1147.402","1147.402","1147.402","1147.402","1147.402","1147.402"
"1959:02","670.812","670.812","670.812","670.812","670.812","670.812","670.812","670.812","670.812","670.812","670.812","670.812","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1075.815","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1076.753","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.408","1156.378","1156.378","1156.378","1156.378","1156.378","1156.378","1156.378","1156.378","1156.378","1156.378"
"1959:03","674.859","674.859","674.859","674.859","674.859","674.859","674.859","674.859","674.859","674.859","674.859","674.859","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","802.4","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1078.385","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1079.33","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.198","1159.17","1159.17","1159.17","1159.17","1159.17","1159.17","1159.17","1159.17","1159.17","1159.17"
"1959:04","678.763","678.763","678.763","678.763","678.763","678.763","678.763","678.763","678.763","678.763","678.763","678.763","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","807.0","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1081.969","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1082.938","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.052","1163.026","1163.026","1163.026","1163.026","1163.026","1163.026","1163.026","1163.026","1163.026","1163.026"
"1959:05","683.317","683.317","683.317","683.317","683.317","683.317","683.317","683.317","683.317","683.317","683.317","683.317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","812.7","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1089.95","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1090.955","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.69","1171.669","1171.669","1171.669","1171.669","1171.669","1171.669","1171.669","1171.669","1171.669","1171.669"
"1959:06","686.931","686.931","686.931","686.931","686.931","686.931","686.931","686.931","686.931","686.931","686.931","686.931","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1097.705","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1098.629","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.996","1179.98","1179.98","1179.98","1179.98","1179.98","1179.98","1179.98","1179.98","1179.98","1179.98"
"1959:07","689.894","689.894","689.894","689.894","689.894","689.894","689.894","689.894","689.894","689.894","689.894","689.894","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","820.3","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1099.291","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1100.29","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.79","1181.775","1181.775","1181.775","1181.775","1181.775","1181.775","1181.775","1181.775","1181.775","1181.775"
"1959:08","692.93","692.93","692.93","692.93","692.93","692.93","692.93","692.93","692.93","692.93","692.93","692.93","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","824.1","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1103.703","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1104.699","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.507","1186.496","1186.496","1186.496","1186.496","1186.496","1186.496","1186.496","1186.496","1186.496","1186.496"
"1959:09","695.99","695.99","695.99","695.99","695.99","695.99","695.99","695.99","695.99","695.99","695.99","695.99","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","828.2","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1110.468","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1111.457","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.816","1193.809","1193.809","1193.809","1193.809","1193.809","1193.809","1193.809","1193.809","1193.809","1193.809"
"1959:10","699.388","699.388","699.388","699.388","699.388","699.388","699.388","699.388","699.388","699.388","699.388","699.388","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","831.5","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1112.977","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1113.919","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.474","1196.402","1196.402","1196.402","1196.402","1196.402","1196.402","1196.402","1196.402","1196.402","1196.402"
"1959:11","703.026","703.026","703.026","703.026","703.026","703.026","703.026","703.026","703.026","703.026","703.026","703.026","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","835.6","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.038","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1117.928","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.793","1200.79","1200.79","1200.79","1200.79","1200.79","1200.79","1200.79","1200.79","1200.79","1200.79"
"1959:12","705.459","705.459","705.459","705.459","705.459","705.459","705.459","705.459","705.459","705.459","705.459","705.459","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","837.7","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1123.716","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1124.629","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.903","1207.904","1207.904","1207.904","1207.904","1207.904","1207.904","1207.904","1207.904","1207.904","1207.904"
"1960:01","708.833","708.833","708.833","708.833","708.833","708.833","708.833","708.833","708.833","708.833","708.833","708.833","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","841.5","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1125.374","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1126.289","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.697","1209.632","1209.632","1209.632","1209.632","1209.632","1209.632","1209.632","1209.632","1209.632","1209.632"
