"DATE","RATESAV65Q4","RATESAV66Q1","RATESAV66Q2","RATESAV66Q3","RATESAV66Q4","RATESAV67Q1","RATESAV67Q2","RATESAV67Q3","RATESAV67Q4","RATESAV68Q1","RATESAV68Q2","RATESAV68Q3","RATESAV68Q4","RATESAV69Q1","RATESAV69Q2","RATESAV69Q3","RATESAV69Q4","RATESAV70Q1","RATESAV70Q2","RATESAV70Q3","RATESAV70Q4","RATESAV71Q1","RATESAV71Q2","RATESAV71Q3","RATESAV71Q4","RATESAV72Q1","RATESAV72Q2","RATESAV72Q3","RATESAV72Q4","RATESAV73Q1","RATESAV73Q2","RATESAV73Q3","RATESAV73Q4","RATESAV74Q1","RATESAV74Q2","RATESAV74Q3","RATESAV74Q4","RATESAV75Q1","RATESAV75Q2","RATESAV75Q3","RATESAV75Q4","RATESAV76Q1","RATESAV76Q2","RATESAV76Q3","RATESAV76Q4","RATESAV77Q1","RATESAV77Q2","RATESAV77Q3","RATESAV77Q4","RATESAV78Q1","RATESAV78Q2","RATESAV78Q3","RATESAV78Q4","RATESAV79Q1","RATESAV79Q2","RATESAV79Q3","RATESAV79Q4","RATESAV80Q1","RATESAV80Q2","RATESAV80Q3","RATESAV80Q4","RATESAV81Q1","RATESAV81Q2","RATESAV81Q3","RATESAV81Q4","RATESAV82Q1","RATESAV82Q2","RATESAV82Q3","RATESAV82Q4","RATESAV83Q1","RATESAV83Q2","RATESAV83Q3","RATESAV83Q4","RATESAV84Q1","RATESAV84Q2","RATESAV84Q3","RATESAV84Q4","RATESAV85Q1","RATESAV85Q2","RATESAV85Q3","RATESAV85Q4","RATESAV86Q1","RATESAV86Q2","RATESAV86Q3","RATESAV86Q4","RATESAV87Q1","RATESAV87Q2","RATESAV87Q3","RATESAV87Q4","RATESAV88Q1","RATESAV88Q2","RATESAV88Q3","RATESAV88Q4","RATESAV89Q1","RATESAV89Q2","RATESAV89Q3","RATESAV89Q4","RATESAV90Q1","RATESAV90Q2","RATESAV90Q3","RATESAV90Q4","RATESAV91Q1","RATESAV91Q2","RATESAV91Q3","RATESAV91Q4","RATESAV92Q1","RATESAV92Q2","RATESAV92Q3","RATESAV92Q4","RATESAV93Q1","RATESAV93Q2","RATESAV93Q3","RATESAV93Q4","RATESAV94Q1","RATESAV94Q2","RATESAV94Q3","RATESAV94Q4","RATESAV95Q1","RATESAV95Q2","RATESAV95Q3","RATESAV95Q4","RATESAV96Q1","RATESAV96Q2","RATESAV96Q3","RATESAV96Q4","RATESAV97Q1","RATESAV97Q2","RATESAV97Q3","RATESAV97Q4","RATESAV98Q1","RATESAV98Q2","RATESAV98Q3","RATESAV98Q4","RATESAV99Q1","RATESAV99Q2","RATESAV99Q3","RATESAV99Q4","RATESAV00Q1","RATESAV00Q2","RATESAV00Q3","RATESAV00Q4","RATESAV01Q1","RATESAV01Q2","RATESAV01Q3","RATESAV01Q4","RATESAV02Q1","RATESAV02Q2","RATESAV02Q3","RATESAV02Q4","RATESAV03Q1","RATESAV03Q2","RATESAV03Q3","RATESAV03Q4","RATESAV04Q1","RATESAV04Q2","RATESAV04Q3","RATESAV04Q4","RATESAV05Q1","RATESAV05Q2","RATESAV05Q3","RATESAV05Q4","RATESAV06Q1","RATESAV06Q2","RATESAV06Q3","RATESAV06Q4","RATESAV07Q1","RATESAV07Q2","RATESAV07Q3","RATESAV07Q4","RATESAV08Q1","RATESAV08Q2","RATESAV08Q3","RATESAV08Q4","RATESAV09Q1","RATESAV09Q2","RATESAV09Q3","RATESAV09Q4","RATESAV10Q1","RATESAV10Q2","RATESAV10Q3","RATESAV10Q4","RATESAV11Q1","RATESAV11Q2","RATESAV11Q3","RATESAV11Q4","RATESAV12Q1","RATESAV12Q2","RATESAV12Q3","RATESAV12Q4","RATESAV13Q1","RATESAV13Q2","RATESAV13Q3","RATESAV13Q4","RATESAV14Q1","RATESAV14Q2","RATESAV14Q3","RATESAV14Q4","RATESAV15Q1","RATESAV15Q2"
"1947:Q1","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","6.2238","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","4.8854","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","5.003","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","4.8825","#N/A","#N/A","#N/A","#N/A","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","4.8135","#N/A","#N/A","#N/A","#N/A","#N/A","5.6615","5.6615","5.6615","5.6615","5.6615","5.6615","5.6615","5.6615","5.6615","5.6615","#N/A","#N/A","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.4459","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","6.1164","#N/A","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","6.0606","7.5439","7.5439","7.5439","7.5439","7.5439","7.5439","7.5439","7.5439"
"1947:Q2","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","2.7256","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.3439","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.4033","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","1.3423","#N/A","#N/A","#N/A","#N/A","1.218","1.218","1.218","1.218","1.218","1.218","1.218","1.218","1.218","1.218","1.218","1.218","#N/A","#N/A","#N/A","#N/A","#N/A","2.2316","2.2316","2.2316","2.2316","2.2316","2.2316","2.2316","2.2316","2.2316","2.2316","#N/A","#N/A","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.9922","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","2.5872","#N/A","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","2.5286","4.9883","4.9883","4.9883","4.9883","4.9883","4.9883","4.9883","4.9883"
"1947:Q3","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","4.6984","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.3353","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4483","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","3.4442","#N/A","#N/A","#N/A","#N/A","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","3.4924","#N/A","#N/A","#N/A","#N/A","#N/A","4.3804","4.3804","4.3804","4.3804","4.3804","4.3804","4.3804","4.3804","4.3804","4.3804","#N/A","#N/A","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","5.203","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","4.8276","#N/A","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","4.7756","7.0225","7.0225","7.0225","7.0225","7.0225","7.0225","7.0225","7.0225"
"1947:Q4","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","3.7736","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.2517","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4207","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","2.4741","#N/A","#N/A","#N/A","#N/A","2.355","2.355","2.355","2.355","2.355","2.355","2.355","2.355","2.355","2.355","2.355","2.355","#N/A","#N/A","#N/A","#N/A","#N/A","3.3542","3.3542","3.3542","3.3542","3.3542","3.3542","3.3542","3.3542","3.3542","3.3542","#N/A","#N/A","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","4.1196","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","3.689","#N/A","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","3.6343","5.673","5.673","5.673","5.673","5.673","5.673","5.673","5.673"
"1948:Q1","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","5.0471","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.5255","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7409","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","3.7904","#N/A","#N/A","#N/A","#N/A","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","3.6748","#N/A","#N/A","#N/A","#N/A","#N/A","4.6307","4.6307","4.6307","4.6307","4.6307","4.6307","4.6307","4.6307","4.6307","4.6307","#N/A","#N/A","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","5.3611","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","4.6383","#N/A","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","4.5882","6.904","6.904","6.904","6.904","6.904","6.904","6.904","6.904"
"1948:Q2","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","6.8158","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.3735","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.627","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","5.621","#N/A","#N/A","#N/A","#N/A","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","5.5051","#N/A","#N/A","#N/A","#N/A","#N/A","6.4089","6.4089","6.4089","6.4089","6.4089","6.4089","6.4089","6.4089","6.4089","6.4089","#N/A","#N/A","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","7.1429","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","6.7618","#N/A","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","6.7125","8.6439","8.6439","8.6439","8.6439","8.6439","8.6439","8.6439","8.6439"
"1948:Q3","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","8.4362","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.1095","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.3019","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","7.2464","#N/A","#N/A","#N/A","#N/A","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","7.1318","#N/A","#N/A","#N/A","#N/A","#N/A","7.9365","7.9365","7.9365","7.9365","7.9365","7.9365","7.9365","7.9365","7.9365","7.9365","#N/A","#N/A","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.6426","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","8.4651","#N/A","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","8.4227","9.9799","9.9799","9.9799","9.9799","9.9799","9.9799","9.9799","9.9799"
"1948:Q4","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","7.93","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.594","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.8358","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","6.7323","#N/A","#N/A","#N/A","#N/A","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","6.5701","#N/A","#N/A","#N/A","#N/A","#N/A","7.3808","7.3808","7.3808","7.3808","7.3808","7.3808","7.3808","7.3808","7.3808","7.3808","#N/A","#N/A","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","8.0916","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","7.9592","#N/A","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","7.9122","9.7549","9.7549","9.7549","9.7549","9.7549","9.7549","9.7549","9.7549"
"1949:Q1","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","6.0317","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.64","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.9442","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","4.8404","#N/A","#N/A","#N/A","#N/A","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","4.6227","#N/A","#N/A","#N/A","#N/A","#N/A","5.4766","5.4766","5.4766","5.4766","5.4766","5.4766","5.4766","5.4766","5.4766","5.4766","#N/A","#N/A","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","6.1192","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","5.9318","#N/A","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","5.8298","7.8189","7.8189","7.8189","7.8189","7.8189","7.8189","7.8189","7.8189"
"1949:Q2","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","4.8327","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.3726","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.682","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","3.6286","#N/A","#N/A","#N/A","#N/A","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","3.4115","#N/A","#N/A","#N/A","#N/A","#N/A","4.2789","4.2789","4.2789","4.2789","4.2789","4.2789","4.2789","4.2789","4.2789","4.2789","#N/A","#N/A","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.9843","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","4.7368","#N/A","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","4.6365","6.7971","6.7971","6.7971","6.7971","6.7971","6.7971","6.7971","6.7971"
"1949:Q3","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","4.9494","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.5389","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.8996","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","3.9488","#N/A","#N/A","#N/A","#N/A","3.678","3.678","3.678","3.678","3.678","3.678","3.678","3.678","3.678","3.678","3.678","3.678","#N/A","#N/A","#N/A","#N/A","#N/A","4.5455","4.5455","4.5455","4.5455","4.5455","4.5455","4.5455","4.5455","4.5455","4.5455","#N/A","#N/A","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.1969","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","5.0526","#N/A","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","4.9526","7.1539","7.1539","7.1539","7.1539","7.1539","7.1539","7.1539","7.1539"
"1949:Q4","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","4.2767","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","2.9255","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.3369","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","3.4355","#N/A","#N/A","#N/A","#N/A","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","3.1712","#N/A","#N/A","#N/A","#N/A","#N/A","4.0335","4.0335","4.0335","4.0335","4.0335","4.0335","4.0335","4.0335","4.0335","4.0335","#N/A","#N/A","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.633","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","4.2887","#N/A","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","4.1885","6.3012","6.3012","6.3012","6.3012","6.3012","6.3012","6.3012","6.3012"
