"DATE","PINTPAID65Q4","PINTPAID66Q1","PINTPAID66Q2","PINTPAID66Q3","PINTPAID66Q4","PINTPAID67Q1","PINTPAID67Q2","PINTPAID67Q3","PINTPAID67Q4","PINTPAID68Q1","PINTPAID68Q2","PINTPAID68Q3","PINTPAID68Q4","PINTPAID69Q1","PINTPAID69Q2","PINTPAID69Q3","PINTPAID69Q4","PINTPAID70Q1","PINTPAID70Q2","PINTPAID70Q3","PINTPAID70Q4","PINTPAID71Q1","PINTPAID71Q2","PINTPAID71Q3","PINTPAID71Q4","PINTPAID72Q1","PINTPAID72Q2","PINTPAID72Q3","PINTPAID72Q4","PINTPAID73Q1","PINTPAID73Q2","PINTPAID73Q3","PINTPAID73Q4","PINTPAID74Q1","PINTPAID74Q2","PINTPAID74Q3","PINTPAID74Q4","PINTPAID75Q1","PINTPAID75Q2","PINTPAID75Q3","PINTPAID75Q4","PINTPAID76Q1","PINTPAID76Q2","PINTPAID76Q3","PINTPAID76Q4","PINTPAID77Q1","PINTPAID77Q2","PINTPAID77Q3","PINTPAID77Q4","PINTPAID78Q1","PINTPAID78Q2","PINTPAID78Q3","PINTPAID78Q4","PINTPAID79Q1","PINTPAID79Q2","PINTPAID79Q3","PINTPAID79Q4","PINTPAID80Q1","PINTPAID80Q2","PINTPAID80Q3","PINTPAID80Q4","PINTPAID81Q1","PINTPAID81Q2","PINTPAID81Q3","PINTPAID81Q4","PINTPAID82Q1","PINTPAID82Q2","PINTPAID82Q3","PINTPAID82Q4","PINTPAID83Q1","PINTPAID83Q2","PINTPAID83Q3","PINTPAID83Q4","PINTPAID84Q1","PINTPAID84Q2","PINTPAID84Q3","PINTPAID84Q4","PINTPAID85Q1","PINTPAID85Q2","PINTPAID85Q3","PINTPAID85Q4","PINTPAID86Q1","PINTPAID86Q2","PINTPAID86Q3","PINTPAID86Q4","PINTPAID87Q1","PINTPAID87Q2","PINTPAID87Q3","PINTPAID87Q4","PINTPAID88Q1","PINTPAID88Q2","PINTPAID88Q3","PINTPAID88Q4","PINTPAID89Q1","PINTPAID89Q2","PINTPAID89Q3","PINTPAID89Q4","PINTPAID90Q1","PINTPAID90Q2","PINTPAID90Q3","PINTPAID90Q4","PINTPAID91Q1","PINTPAID91Q2","PINTPAID91Q3","PINTPAID91Q4","PINTPAID92Q1","PINTPAID92Q2","PINTPAID92Q3","PINTPAID92Q4","PINTPAID93Q1","PINTPAID93Q2","PINTPAID93Q3","PINTPAID93Q4","PINTPAID94Q1","PINTPAID94Q2","PINTPAID94Q3","PINTPAID94Q4","PINTPAID95Q1","PINTPAID95Q2","PINTPAID95Q3","PINTPAID95Q4","PINTPAID96Q1","PINTPAID96Q2","PINTPAID96Q3","PINTPAID96Q4","PINTPAID97Q1","PINTPAID97Q2","PINTPAID97Q3","PINTPAID97Q4","PINTPAID98Q1","PINTPAID98Q2","PINTPAID98Q3","PINTPAID98Q4","PINTPAID99Q1","PINTPAID99Q2","PINTPAID99Q3","PINTPAID99Q4","PINTPAID00Q1","PINTPAID00Q2","PINTPAID00Q3","PINTPAID00Q4","PINTPAID01Q1","PINTPAID01Q2","PINTPAID01Q3","PINTPAID01Q4","PINTPAID02Q1","PINTPAID02Q2","PINTPAID02Q3","PINTPAID02Q4","PINTPAID03Q1","PINTPAID03Q2","PINTPAID03Q3","PINTPAID03Q4","PINTPAID04Q1","PINTPAID04Q2","PINTPAID04Q3","PINTPAID04Q4","PINTPAID05Q1","PINTPAID05Q2","PINTPAID05Q3","PINTPAID05Q4","PINTPAID06Q1","PINTPAID06Q2","PINTPAID06Q3","PINTPAID06Q4","PINTPAID07Q1","PINTPAID07Q2","PINTPAID07Q3","PINTPAID07Q4","PINTPAID08Q1","PINTPAID08Q2","PINTPAID08Q3","PINTPAID08Q4","PINTPAID09Q1","PINTPAID09Q2","PINTPAID09Q3","PINTPAID09Q4","PINTPAID10Q1","PINTPAID10Q2","PINTPAID10Q3","PINTPAID10Q4","PINTPAID11Q1","PINTPAID11Q2","PINTPAID11Q3","PINTPAID11Q4","PINTPAID12Q1","PINTPAID12Q2","PINTPAID12Q3","PINTPAID12Q4","PINTPAID13Q1","PINTPAID13Q2","PINTPAID13Q3","PINTPAID13Q4","PINTPAID14Q1","PINTPAID14Q2","PINTPAID14Q3","PINTPAID14Q4","PINTPAID15Q1","PINTPAID15Q2"
"1963:Q3","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","#N/A","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1"
"1963:Q4","9.4","9.4","9.4","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","#N/A","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4"
"1964:Q1","9.6","9.6","9.6","9.7","9.7","9.7","9.7","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","#N/A","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5"
"1964:Q2","9.8","9.8","9.8","10.0","10.0","10.0","10.0","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","#N/A","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8"
"1964:Q3","10.2","10.2","10.2","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","#N/A","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1"
"1964:Q4","10.4","10.4","10.4","10.6","10.6","10.6","10.6","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3"
"1965:Q1","10.6","10.6","10.6","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5"
"1965:Q2","11.0","11.0","11.0","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","#N/A","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9"
"1965:Q3","11.3","11.3","11.3","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1"
"1965:Q4","#N/A","11.6","11.6","11.8","11.8","11.8","11.8","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","#N/A","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2"
"1966:Q1","#N/A","#N/A","11.9","12.1","12.1","12.1","12.1","12.0","12.0","12.0","12.0","12.1","12.1","12.1","12.1","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","#N/A","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4"
"1966:Q2","#N/A","#N/A","#N/A","12.6","12.5","12.5","12.5","12.3","12.3","12.3","12.3","12.4","12.4","12.4","12.4","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","#N/A","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","12.8","12.8","12.8","12.5","12.5","12.5","12.5","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","#N/A","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7"
"1966:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","13.2","13.2","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","#N/A","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9"
