"DATE","LFPART98M11","LFPART98M12","LFPART99M1","LFPART99M2","LFPART99M3","LFPART99M4","LFPART99M5","LFPART99M6","LFPART99M7","LFPART99M8","LFPART99M9","LFPART99M10","LFPART99M11","LFPART99M12","LFPART00M1","LFPART00M2","LFPART00M3","LFPART00M4","LFPART00M5","LFPART00M6","LFPART00M7","LFPART00M8","LFPART00M9","LFPART00M10","LFPART00M11","LFPART00M12","LFPART01M1","LFPART01M2","LFPART01M3","LFPART01M4","LFPART01M5","LFPART01M6","LFPART01M7","LFPART01M8","LFPART01M9","LFPART01M10","LFPART01M11","LFPART01M12","LFPART02M1","LFPART02M2","LFPART02M3","LFPART02M4","LFPART02M5","LFPART02M6","LFPART02M7","LFPART02M8","LFPART02M9","LFPART02M10","LFPART02M11","LFPART02M12","LFPART03M1","LFPART03M2","LFPART03M3","LFPART03M4","LFPART03M5","LFPART03M6","LFPART03M7","LFPART03M8","LFPART03M9","LFPART03M10","LFPART03M11","LFPART03M12","LFPART04M1","LFPART04M2","LFPART04M3","LFPART04M4","LFPART04M5","LFPART04M6","LFPART04M7","LFPART04M8","LFPART04M9","LFPART04M10","LFPART04M11","LFPART04M12","LFPART05M1","LFPART05M2","LFPART05M3","LFPART05M4","LFPART05M5","LFPART05M6","LFPART05M7","LFPART05M8","LFPART05M9","LFPART05M10","LFPART05M11","LFPART05M12","LFPART06M1","LFPART06M2","LFPART06M3","LFPART06M4","LFPART06M5","LFPART06M6","LFPART06M7","LFPART06M8","LFPART06M9","LFPART06M10","LFPART06M11","LFPART06M12","LFPART07M1","LFPART07M2","LFPART07M3","LFPART07M4","LFPART07M5","LFPART07M6","LFPART07M7","LFPART07M8","LFPART07M9","LFPART07M10","LFPART07M11","LFPART07M12","LFPART08M1","LFPART08M2","LFPART08M3","LFPART08M4","LFPART08M5","LFPART08M6","LFPART08M7","LFPART08M8","LFPART08M9","LFPART08M10","LFPART08M11","LFPART08M12","LFPART09M1","LFPART09M2","LFPART09M3","LFPART09M4","LFPART09M5","LFPART09M6","LFPART09M7","LFPART09M8","LFPART09M9","LFPART09M10","LFPART09M11","LFPART09M12","LFPART10M1","LFPART10M2","LFPART10M3","LFPART10M4","LFPART10M5","LFPART10M6","LFPART10M7","LFPART10M8","LFPART10M9","LFPART10M10","LFPART10M11","LFPART10M12","LFPART11M1","LFPART11M2","LFPART11M3","LFPART11M4","LFPART11M5","LFPART11M6","LFPART11M7","LFPART11M8","LFPART11M9","LFPART11M10","LFPART11M11","LFPART11M12","LFPART12M1","LFPART12M2","LFPART12M3","LFPART12M4","LFPART12M5","LFPART12M6","LFPART12M7","LFPART12M8","LFPART12M9","LFPART12M10","LFPART12M11","LFPART12M12","LFPART13M1","LFPART13M2","LFPART13M3","LFPART13M4","LFPART13M5","LFPART13M6","LFPART13M7","LFPART13M8","LFPART13M9","LFPART13M10","LFPART13M11","LFPART13M12","LFPART14M1","LFPART14M2","LFPART14M3","LFPART14M4","LFPART14M5","LFPART14M6","LFPART14M7","LFPART14M8","LFPART14M9","LFPART14M10","LFPART14M11","LFPART14M12","LFPART15M1","LFPART15M2","LFPART15M3","LFPART15M4","LFPART15M5"
"1950:10","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009","59.4009"
"1950:11","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319","59.3319"
"1950:12","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845","59.1845"
"1951:01","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792","59.0792"
"1951:02","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589","59.0589"
"1951:03","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597","59.7597"
"1951:04","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232","59.1232"
"1951:05","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774","59.3774"
"1951:06","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685","58.9685"
"1951:07","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293","59.4293"
"1951:08","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399","59.2399"
"1951:09","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699","59.0699"
