"DATE","NCPROFAT00M1","NCPROFAT00M2","NCPROFAT00M3","NCPROFAT00M4","NCPROFAT00M5","NCPROFAT00M6","NCPROFAT00M7","NCPROFAT00M8","NCPROFAT00M9","NCPROFAT00M10","NCPROFAT00M11","NCPROFAT00M12","NCPROFAT01M1","NCPROFAT01M2","NCPROFAT01M3","NCPROFAT01M4","NCPROFAT01M5","NCPROFAT01M6","NCPROFAT01M7","NCPROFAT01M8","NCPROFAT01M9","NCPROFAT01M10","NCPROFAT01M11","NCPROFAT01M12","NCPROFAT02M1","NCPROFAT02M2","NCPROFAT02M3","NCPROFAT02M4","NCPROFAT02M5","NCPROFAT02M6","NCPROFAT02M7","NCPROFAT02M8","NCPROFAT02M9","NCPROFAT02M10","NCPROFAT02M11","NCPROFAT02M12","NCPROFAT03M1","NCPROFAT03M2","NCPROFAT03M3","NCPROFAT03M4","NCPROFAT03M5","NCPROFAT03M6","NCPROFAT03M7","NCPROFAT03M8","NCPROFAT03M9","NCPROFAT03M10","NCPROFAT03M11","NCPROFAT03M12","NCPROFAT04M1","NCPROFAT04M2","NCPROFAT04M3","NCPROFAT04M4","NCPROFAT04M5","NCPROFAT04M6","NCPROFAT04M7","NCPROFAT04M8","NCPROFAT04M9","NCPROFAT04M10","NCPROFAT04M11","NCPROFAT04M12","NCPROFAT05M1","NCPROFAT05M2","NCPROFAT05M3","NCPROFAT05M4","NCPROFAT05M5","NCPROFAT05M6","NCPROFAT05M7","NCPROFAT05M8","NCPROFAT05M9","NCPROFAT05M10","NCPROFAT05M11","NCPROFAT05M12","NCPROFAT06M1","NCPROFAT06M2","NCPROFAT06M3","NCPROFAT06M4","NCPROFAT06M5","NCPROFAT06M6","NCPROFAT06M7","NCPROFAT06M8","NCPROFAT06M9","NCPROFAT06M10","NCPROFAT06M11","NCPROFAT06M12","NCPROFAT07M1","NCPROFAT07M2","NCPROFAT07M3","NCPROFAT07M4","NCPROFAT07M5","NCPROFAT07M6","NCPROFAT07M7","NCPROFAT07M8","NCPROFAT07M9","NCPROFAT07M10","NCPROFAT07M11","NCPROFAT07M12","NCPROFAT08M1","NCPROFAT08M2","NCPROFAT08M3","NCPROFAT08M4","NCPROFAT08M5","NCPROFAT08M6","NCPROFAT08M7","NCPROFAT08M8","NCPROFAT08M9","NCPROFAT08M10","NCPROFAT08M11","NCPROFAT08M12","NCPROFAT09M1","NCPROFAT09M2","NCPROFAT09M3","NCPROFAT09M4","NCPROFAT09M5","NCPROFAT09M6","NCPROFAT09M7","NCPROFAT09M8","NCPROFAT09M9","NCPROFAT09M10","NCPROFAT09M11","NCPROFAT09M12"
"1949:Q3","#N/A","#N/A","#N/A","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","#N/A","19.2","19.2","19.2","19.2"
"1949:Q4","#N/A","#N/A","#N/A","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","#N/A","18.8","18.8","18.8","18.8"
"1950:Q1","#N/A","#N/A","#N/A","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","#N/A","19.3","19.3","19.3","19.3"
"1950:Q2","#N/A","#N/A","#N/A","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","#N/A","23.1","23.1","23.1","23.1"
"1950:Q3","#N/A","#N/A","#N/A","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","#N/A","28.0","28.0","28.0","28.0"
"1950:Q4","#N/A","#N/A","#N/A","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","#N/A","30.8","30.8","30.8","30.8"
"1951:Q1","#N/A","#N/A","#N/A","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","#N/A","25.6","25.6","25.6","25.6"
"1951:Q2","#N/A","#N/A","#N/A","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","#N/A","21.8","21.8","21.8","21.8"
"1951:Q3","#N/A","#N/A","#N/A","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","#N/A","19.9","19.9","19.9","19.9"
"1951:Q4","#N/A","#N/A","#N/A","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","#N/A","21.6","21.6","21.6","21.6"
"1952:Q1","#N/A","#N/A","#N/A","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","#N/A","20.9","20.9","20.9","20.9"
"1952:Q2","#N/A","#N/A","#N/A","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","#N/A","20.0","20.0","20.0","20.0"
"1952:Q3","#N/A","#N/A","#N/A","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","#N/A","20.2","20.2","20.2","20.2"
