"DATE","PINTI65Q4","PINTI66Q1","PINTI66Q2","PINTI66Q3","PINTI66Q4","PINTI67Q1","PINTI67Q2","PINTI67Q3","PINTI67Q4","PINTI68Q1","PINTI68Q2","PINTI68Q3","PINTI68Q4","PINTI69Q1","PINTI69Q2","PINTI69Q3","PINTI69Q4","PINTI70Q1","PINTI70Q2","PINTI70Q3","PINTI70Q4","PINTI71Q1","PINTI71Q2","PINTI71Q3","PINTI71Q4","PINTI72Q1","PINTI72Q2","PINTI72Q3","PINTI72Q4","PINTI73Q1","PINTI73Q2","PINTI73Q3","PINTI73Q4","PINTI74Q1","PINTI74Q2","PINTI74Q3","PINTI74Q4","PINTI75Q1","PINTI75Q2","PINTI75Q3","PINTI75Q4","PINTI76Q1","PINTI76Q2","PINTI76Q3","PINTI76Q4","PINTI77Q1","PINTI77Q2","PINTI77Q3","PINTI77Q4","PINTI78Q1","PINTI78Q2","PINTI78Q3","PINTI78Q4","PINTI79Q1","PINTI79Q2","PINTI79Q3","PINTI79Q4","PINTI80Q1","PINTI80Q2","PINTI80Q3","PINTI80Q4","PINTI81Q1","PINTI81Q2","PINTI81Q3","PINTI81Q4","PINTI82Q1","PINTI82Q2","PINTI82Q3","PINTI82Q4","PINTI83Q1","PINTI83Q2","PINTI83Q3","PINTI83Q4","PINTI84Q1","PINTI84Q2","PINTI84Q3","PINTI84Q4","PINTI85Q1","PINTI85Q2","PINTI85Q3","PINTI85Q4","PINTI86Q1","PINTI86Q2","PINTI86Q3","PINTI86Q4","PINTI87Q1","PINTI87Q2","PINTI87Q3","PINTI87Q4","PINTI88Q1","PINTI88Q2","PINTI88Q3","PINTI88Q4","PINTI89Q1","PINTI89Q2","PINTI89Q3","PINTI89Q4","PINTI90Q1","PINTI90Q2","PINTI90Q3","PINTI90Q4","PINTI91Q1","PINTI91Q2","PINTI91Q3","PINTI91Q4","PINTI92Q1","PINTI92Q2","PINTI92Q3","PINTI92Q4","PINTI93Q1","PINTI93Q2","PINTI93Q3","PINTI93Q4","PINTI94Q1","PINTI94Q2","PINTI94Q3","PINTI94Q4","PINTI95Q1","PINTI95Q2","PINTI95Q3","PINTI95Q4","PINTI96Q1","PINTI96Q2","PINTI96Q3","PINTI96Q4","PINTI97Q1","PINTI97Q2","PINTI97Q3","PINTI97Q4","PINTI98Q1","PINTI98Q2","PINTI98Q3","PINTI98Q4","PINTI99Q1","PINTI99Q2","PINTI99Q3","PINTI99Q4","PINTI00Q1","PINTI00Q2","PINTI00Q3","PINTI00Q4","PINTI01Q1","PINTI01Q2","PINTI01Q3","PINTI01Q4","PINTI02Q1","PINTI02Q2","PINTI02Q3","PINTI02Q4","PINTI03Q1","PINTI03Q2","PINTI03Q3","PINTI03Q4","PINTI04Q1","PINTI04Q2","PINTI04Q3","PINTI04Q4","PINTI05Q1","PINTI05Q2","PINTI05Q3","PINTI05Q4","PINTI06Q1","PINTI06Q2","PINTI06Q3","PINTI06Q4","PINTI07Q1","PINTI07Q2","PINTI07Q3","PINTI07Q4","PINTI08Q1","PINTI08Q2","PINTI08Q3","PINT08Q4","PINTI09Q1","PINTI09Q2","PINTI09Q3","PINTI09Q4","PINTI10Q1","PINTI10Q2","PINTI10Q3","PINTI10Q4","PINTI11Q1","PINTI11Q2","PINTI11Q3","PINTI11Q4","PINTI12Q1","PINTI12Q2","PINTI12Q3","PINTI12Q4","PINTI13Q1","PINTI13Q2","PINTI13Q3","PINTI13Q4","PINTI14Q1","PINTI14Q2","PINTI14Q3","PINTI14Q4","PINTI15Q1","PINTI15Q2"
"1949:Q3","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","#N/A","#N/A","#N/A","#N/A","#N/A","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","#N/A","#N/A","#N/A","#N/A","#N/A","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","#N/A","#N/A","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","#N/A","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8"
"1949:Q4","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","#N/A","#N/A","#N/A","#N/A","#N/A","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","#N/A","#N/A","#N/A","#N/A","#N/A","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","#N/A","#N/A","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","#N/A","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1"
"1950:Q1","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","#N/A","#N/A","#N/A","#N/A","#N/A","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","#N/A","#N/A","#N/A","#N/A","#N/A","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","#N/A","#N/A","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","#N/A","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4"
"1950:Q2","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","#N/A","#N/A","#N/A","#N/A","#N/A","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","#N/A","#N/A","#N/A","#N/A","#N/A","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","#N/A","#N/A","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","#N/A","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7"
"1950:Q3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","#N/A","#N/A","#N/A","#N/A","#N/A","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","#N/A","#N/A","#N/A","#N/A","#N/A","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","#N/A","#N/A","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","#N/A","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"1950:Q4","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","#N/A","#N/A","#N/A","#N/A","#N/A","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","#N/A","#N/A","#N/A","#N/A","#N/A","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","#N/A","#N/A","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","#N/A","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2"
"1951:Q1","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","#N/A","#N/A","#N/A","#N/A","#N/A","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","#N/A","#N/A","#N/A","#N/A","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","#N/A","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5"
"1951:Q2","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","#N/A","#N/A","#N/A","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","#N/A","#N/A","#N/A","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","#N/A","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7"
"1951:Q3","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","#N/A","#N/A","#N/A","#N/A","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","#N/A","#N/A","#N/A","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","#N/A","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0"
"1951:Q4","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","#N/A","#N/A","#N/A","#N/A","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","#N/A","#N/A","#N/A","#N/A","#N/A","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","#N/A","#N/A","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","#N/A","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2"
"1952:Q1","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","#N/A","#N/A","#N/A","#N/A","#N/A","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","#N/A","#N/A","#N/A","#N/A","#N/A","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","#N/A","#N/A","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","#N/A","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4"
"1952:Q2","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","#N/A","#N/A","#N/A","#N/A","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","#N/A","#N/A","#N/A","#N/A","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","#N/A","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7"
"1952:Q3","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","#N/A","#N/A","#N/A","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","#N/A","#N/A","#N/A","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","#N/A","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","#N/A","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1"
"1952:Q4","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","#N/A","#N/A","#N/A","#N/A","#N/A","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","#N/A","#N/A","#N/A","#N/A","#N/A","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","#N/A","#N/A","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","#N/A","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5"
