"DATE","RINVBF90M1","RINVBF90M2","RINVBF90M3","RINVBF90M4","RINVBF90M5","RINVBF90M6","RINVBF90M7","RINVBF90M8","RINVBF90M9","RINVBF90M10","RINVBF90M11","RINVBF90M12","RINVBF91M1","RINVBF91M2","RINVBF91M3","RINVBF91M4","RINVBF91M5","RINVBF91M6","RINVBF91M7","RINVBF91M8","RINVBF91M9","RINVBF91M10","RINVBF91M11","RINVBF91M12","RINVBF92M1","RINVBF92M2","RINVBF92M3","RINVBF92M4","RINVBF92M5","RINVBF92M6","RINVBF92M7","RINVBF92M8","RINVBF92M9","RINVBF92M10","RINVBF92M11","RINVBF92M12","RINVBF93M1","RINVBF93M2","RINVBF93M3","RINVBF93M4","RINVBF93M5","RINVBF93M6","RINVBF93M7","RINVBF93M8","RINVBF93M9","RINVBF93M10","RINVBF93M11","RINVBF93M12","RINVBF94M1","RINVBF94M2","RINVBF94M3","RINVBF94M4","RINVBF94M5","RINVBF94M6","RINVBF94M7","RINVBF94M8","RINVBF94M9","RINVBF94M10","RINVBF94M11","RINVBF94M12","RINVBF95M1","RINVBF95M2","RINVBF95M3","RINVBF95M4","RINVBF95M5","RINVBF95M6","RINVBF95M7","RINVBF95M8","RINVBF95M9","RINVBF95M10","RINVBF95M11","RINVBF95M12","RINVBF96M1","RINVBF96M2","RINVBF96M3","RINVBF96M4","RINVBF96M5","RINVBF96M6","RINVBF96M7","RINVBF96M8","RINVBF96M9","RINVBF96M10","RINVBF96M11","RINVBF96M12","RINVBF97M1","RINVBF97M2","RINVBF97M3","RINVBF97M4","RINVBF97M5","RINVBF97M6","RINVBF97M7","RINVBF97M8","RINVBF97M9","RINVBF97M10","RINVBF97M11","RINVBF97M12","RINVBF98M1","RINVBF98M2","RINVBF98M3","RINVBF98M4","RINVBF98M5","RINVBF98M6","RINVBF98M7","RINVBF98M8","RINVBF98M9","RINVBF98M10","RINVBF98M11","RINVBF98M12","RINVBF99M1","RINVBF99M2","RINVBF99M3","RINVBF99M4","RINVBF99M5","RINVBF99M6","RINVBF99M7","RINVBF99M8","RINVBF99M9","RINVBF99M10","RINVBF99M11","RINVBF99M12"
"1949:Q3","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","#N/A","#N/A"
"1949:Q4","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","#N/A","#N/A"
"1950:Q1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","#N/A","#N/A"
"1950:Q2","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","#N/A","#N/A"
"1950:Q3","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","#N/A","#N/A"
"1950:Q4","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","#N/A","#N/A"
"1951:Q1","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","#N/A","#N/A"
"1951:Q2","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","131.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","#N/A","#N/A"
"1951:Q3","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","134.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","#N/A","#N/A"
"1951:Q4","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","132.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","123.5","#N/A","#N/A"
"1952:Q1","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","133.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","#N/A","#N/A"
"1952:Q2","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","#N/A","#N/A"
