"DATE","NCPROFAT90M1","NCPROFAT90M2","NCPROFAT90M3","NCPROFAT90M4","NCPROFAT90M5","NCPROFAT90M6","NCPROFAT90M7","NCPROFAT90M8","NCPROFAT90M9","NCPROFAT90M10","NCPROFAT90M11","NCPROFAT90M12","NCPROFAT91M1","NCPROFAT91M2","NCPROFAT91M3","NCPROFAT91M4","NCPROFAT91M5","NCPROFAT91M6","NCPROFAT91M7","NCPROFAT91M8","NCPROFAT91M9","NCPROFAT91M10","NCPROFAT91M11","NCPROFAT91M12","NCPROFAT92M1","NCPROFAT92M2","NCPROFAT92M3","NCPROFAT92M4","NCPROFAT92M5","NCPROFAT92M6","NCPROFAT92M7","NCPROFAT92M8","NCPROFAT92M9","NCPROFAT92M10","NCPROFAT92M11","NCPROFAT92M12","NCPROFAT93M1","NCPROFAT93M2","NCPROFAT93M3","NCPROFAT93M4","NCPROFAT93M5","NCPROFAT93M6","NCPROFAT93M7","NCPROFAT93M8","NCPROFAT93M9","NCPROFAT93M10","NCPROFAT93M11","NCPROFAT93M12","NCPROFAT94M1","NCPROFAT94M2","NCPROFAT94M3","NCPROFAT94M4","NCPROFAT94M5","NCPROFAT94M6","NCPROFAT94M7","NCPROFAT94M8","NCPROFAT94M9","NCPROFAT94M10","NCPROFAT94M11","NCPROFAT94M12","NCPROFAT95M1","NCPROFAT95M2","NCPROFAT95M3","NCPROFAT95M4","NCPROFAT95M5","NCPROFAT95M6","NCPROFAT95M7","NCPROFAT95M8","NCPROFAT95M9","NCPROFAT95M10","NCPROFAT95M11","NCPROFAT95M12","NCPROFAT96M1","NCPROFAT96M2","NCPROFAT96M3","NCPROFAT96M4","NCPROFAT96M5","NCPROFAT96M6","NCPROFAT96M7","NCPROFAT96M8","NCPROFAT96M9","NCPROFAT96M10","NCPROFAT96M11","NCPROFAT96M12","NCPROFAT97M1","NCPROFAT97M2","NCPROFAT97M3","NCPROFAT97M4","NCPROFAT97M5","NCPROFAT97M6","NCPROFAT97M7","NCPROFAT97M8","NCPROFAT97M9","NCPROFAT97M10","NCPROFAT97M11","NCPROFAT97M12","NCPROFAT98M1","NCPROFAT98M2","NCPROFAT98M3","NCPROFAT98M4","NCPROFAT98M5","NCPROFAT98M6","NCPROFAT98M7","NCPROFAT98M8","NCPROFAT98M9","NCPROFAT98M10","NCPROFAT98M11","NCPROFAT98M12","NCPROFAT99M1","NCPROFAT99M2","NCPROFAT99M3","NCPROFAT99M4","NCPROFAT99M5","NCPROFAT99M6","NCPROFAT99M7","NCPROFAT99M8","NCPROFAT99M9","NCPROFAT99M10","NCPROFAT99M11","NCPROFAT99M12"
"1953:Q1","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","#N/A","#N/A"
"1953:Q2","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","#N/A","#N/A"
"1953:Q3","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","#N/A","#N/A"
"1953:Q4","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4","#N/A","#N/A"
"1954:Q1","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","#N/A","#N/A"
"1954:Q2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","#N/A","#N/A"
"1954:Q3","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","#N/A","#N/A"
"1954:Q4","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","#N/A","#N/A"
"1955:Q1","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","#N/A","#N/A"
"1955:Q2","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","#N/A","#N/A"
"1955:Q3","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","#N/A","#N/A"
"1955:Q4","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","#N/A","#N/A"
