"DATE","RCONND00M1","RCONND00M2","RCONND00M3","RCONND00M4","RCONND00M5","RCONND00M6","RCONND00M7","RCONND00M8","RCONND00M9","RCONND00M10","RCONND00M11","RCONND00M12","RCONND01M1","RCONND01M2","RCONND01M3","RCONND01M4","RCONND01M5","RCONND01M6","RCONND01M7","RCONND01M8","RCONND01M9","RCONND01M10","RCONND01M11","RCONND01M12","RCONND02M1","RCONND02M2","RCONND02M3","RCONND02M4","RCONND02M5","RCONND02M6","RCONND02M7","RCONND02M8","RCONND02M9","RCONND02M10","RCONND02M11","RCONND02M12","RCONND03M1","RCONND03M2","RCONND03M3","RCONND03M4","RCONND03M5","RCONND03M6","RCONND03M7","RCONND03M8","RCONND03M9","RCONND03M10","RCONND03M11","RCONND03M12","RCONND04M1","RCONND04M2","RCONND04M3","RCONND04M4","RCONND04M5","RCONND04M6","RCONND04M7","RCONND04M8","RCONND04M9","RCONND04M10","RCONND04M11","RCONND04M12","RCONND05M1","RCONND05M2","RCONND05M3","RCONND05M4","RCONND05M5","RCONND05M6","RCONND05M7","RCONND05M8","RCONND05M9","RCONND05M10","RCONND05M11","RCONND05M12","RCONND06M1","RCONND06M2","RCONND06M3","RCONND06M4","RCONND06M5","RCONND06M6","RCONND06M7","RCONND06M8","RCONND06M9","RCONND06M10","RCONND06M11","RCONND06M12","RCONND07M1","RCONND07M2","RCONND07M3","RCONND07M4","RCONND07M5","RCONND07M6","RCONND07M7","RCONND07M8","RCONND07M9","RCONND07M10","RCONND07M11","RCONND07M12","RCONND08M1","RCONND08M2","RCONND08M3","RCONND08M4","RCONND08M5","RCONND08M6","RCONND08M7","RCONND08M8","RCONND08M9","RCONND08M10","RCONND08M11","RCONND08M12","RCONND09M1","RCONND09M2","RCONND09M3","RCONND09M4","RCONND09M5","RCONND09M6","RCONND09M7","RCONND09M8","RCONND09M9","RCONND09M10","RCONND09M11","RCONND09M12"
"1947:Q1","#N/A","#N/A","#N/A","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","424.4","424.4","424.4","424.4","424.4"
"1947:Q2","#N/A","#N/A","#N/A","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","431.7","431.7","431.7","431.7","431.7"
"1947:Q3","#N/A","#N/A","#N/A","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","433.7","433.7","433.7","433.7","433.7"
"1947:Q4","#N/A","#N/A","#N/A","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","428.0","428.0","428.0","428.0","428.0"
"1948:Q1","#N/A","#N/A","#N/A","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","429.4","429.4","429.4","429.4","429.4"
"1948:Q2","#N/A","#N/A","#N/A","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","433.6","433.6","433.6","433.6","433.6"
"1948:Q3","#N/A","#N/A","#N/A","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","430.9","430.9","430.9","430.9","430.9"
"1948:Q4","#N/A","#N/A","#N/A","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","436.6","436.6","436.6","436.6","436.6"
"1949:Q1","#N/A","#N/A","#N/A","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","438.2","438.2","438.2","438.2","438.2"
"1949:Q2","#N/A","#N/A","#N/A","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","439.4","439.4","439.4","439.4","439.4"
"1949:Q3","#N/A","#N/A","#N/A","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","449.2","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","485.6","435.6","435.6","435.6","435.6","435.6"
"1949:Q4","#N/A","#N/A","#N/A","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","455.5","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","442.6","442.6","442.6","442.6","442.6"
"1950:Q1","#N/A","#N/A","#N/A","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","461.1","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.4","498.3","498.3","498.3","448.3","448.3","448.3","448.3","448.3"
"1950:Q2","#N/A","#N/A","#N/A","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","466.1","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","503.7","453.5","453.5","453.5","453.5","453.5"
"1950:Q3","#N/A","#N/A","#N/A","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","474.4","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","461.3","461.3","461.3","461.3","461.3"
"1950:Q4","#N/A","#N/A","#N/A","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","501.9","451.0","451.0","451.0","451.0","451.0"
"1951:Q1","#N/A","#N/A","#N/A","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","459.4","459.4","459.4","459.4","459.4"
"1951:Q2","#N/A","#N/A","#N/A","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","470.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","508.8","452.7","452.7","452.7","452.7","452.7"
