"DATE","NCPROFAT65M9","NCPROFAT65M10","NCPROFAT65M11","NCPROFAT65M12","NCPROFAT66M1","NCPROFAT66M2","NCPROFAT66M3","NCPROFAT66M4","NCPROFAT66M5","NCPROFAT66M6","NCPROFAT66M7","NCPROFAT66M8","NCPROFAT66M9","NCPROFAT66M10","NCPROFAT66M11","NCPROFAT66M12","NCPROFAT67M1","NCPROFAT67M2","NCPROFAT67M3","NCPROFAT67M4","NCPROFAT67M5","NCPROFAT67M6","NCPROFAT67M7","NCPROFAT67M8","NCPROFAT67M9","NCPROFAT67M10","NCPROFAT67M11","NCPROFAT67M12","NCPROFAT68M1","NCPROFAT68M2","NCPROFAT68M3","NCPROFAT68M4","NCPROFAT68M5","NCPROFAT68M6","NCPROFAT68M7","NCPROFAT68M8","NCPROFAT68M9","NCPROFAT68M10","NCPROFAT68M11","NCPROFAT68M12","NCPROFAT69M1","NCPROFAT69M2","NCPROFAT69M3","NCPROFAT69M4","NCPROFAT69M5","NCPROFAT69M6","NCPROFAT69M7","NCPROFAT69M8","NCPROFAT69M9","NCPROFAT69M10","NCPROFAT69M11","NCPROFAT69M12"
"1952:Q3","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8"
"1952:Q4","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7"
"1953:Q1","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7"
"1953:Q2","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8"
"1953:Q3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3"
"1953:Q4","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6"
"1954:Q1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1"
"1954:Q2","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7","19.7"
"1954:Q3","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9"
"1954:Q4","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5"
