"DATE","RINVCHI90M1","RINVCHI90M2","RINVCHI90M3","RINVCHI90M4","RINVCHI90M5","RINVCHI90M6","RINVCHI90M7","RINVCHI90M8","RINVCHI90M9","RINVCHI90M10","RINVCHI90M11","RINVCHI90M12","RINVCHI91M1","RINVCHI91M2","RINVCHI91M3","RINVCHI91M4","RINVCHI91M5","RINVCHI91M6","RINVCHI91M7","RINVCHI91M8","RINVCHI91M9","RINVCHI91M10","RINVCHI91M11","RINVCHI91M12","RINVCHI92M1","RINVCHI92M2","RINVCHI92M3","RINVCHI92M4","RINVCHI92M5","RINVCHI92M6","RINVCHI92M7","RINVCHI92M8","RINVCHI92M9","RINVCHI92M10","RINVCHI92M11","RINVCHI92M12","RINVCHI93M1","RINVCHI93M2","RINVCHI93M3","RINVCHI93M4","RINVCHI93M5","RINVCHI93M6","RINVCHI93M7","RINVCHI93M8","RINVCHI93M9","RINVCHI93M10","RINVCHI93M11","RINVCHI93M12","RINVCHI94M1","RINVCHI94M2","RINVCHI94M3","RINVCHI94M4","RINVCHI94M5","RINVCHI94M6","RINVCHI94M7","RINVCHI94M8","RINVCHI94M9","RINVCHI94M10","RINVCHI94M11","RINVCHI94M12","RINVCHI95M1","RINVCHI95M2","RINVCHI95M3","RINVCHI95M4","RINVCHI95M5","RINVCHI95M6","RINVCHI95M7","RINVCHI95M8","RINVCHI95M9","RINVCHI95M10","RINVCHI95M11","RINVCHI95M12","RINVCHI96M1","RINVCHI96M2","RINVCHI96M3","RINVCHI96M4","RINVCHI96M5","RINVCHI96M6","RINVCHI96M7","RINVCHI96M8","RINVCHI96M9","RINVCHI96M10","RINVCHI96M11","RINVCHI96M12","RINVCHI97M1","RINVCHI97M2","RINVCHI97M3","RINVCHI97M4","RINVCHI97M5","RINVCHI97M6","RINVCHI97M7","RINVCHI97M8","RINVCHI97M9","RINVCHI97M10","RINVCHI97M11","RINVCHI97M12","RINVCHI98M1","RINVCHI98M2","RINVCHI98M3","RINVCHI98M4","RINVCHI98M5","RINVCHI98M6","RINVCHI98M7","RINVCHI98M8","RINVCHI98M9","RINVCHI98M10","RINVCHI98M11","RINVCHI98M12","RINVCHI99M1","RINVCHI99M2","RINVCHI99M3","RINVCHI99M4","RINVCHI99M5","RINVCHI99M6","RINVCHI99M7","RINVCHI99M8","RINVCHI99M9","RINVCHI99M10","RINVCHI99M11","RINVCHI99M12"
"1947:Q1","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","-9.5","#N/A","#N/A"
"1947:Q2","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","-5.1","#N/A","#N/A"
"1947:Q3","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","-7.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","-5.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","#N/A","#N/A"
"1947:Q4","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","#N/A","#N/A"
"1948:Q1","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","#N/A","#N/A"
"1948:Q2","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","22.1","#N/A","#N/A"
"1948:Q3","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","#N/A","#N/A"
"1948:Q4","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","#N/A","#N/A"
"1949:Q1","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","#N/A","#N/A"
"1949:Q2","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","-15.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","-16.2","#N/A","#N/A"
"1949:Q3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","-4.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","-6.2","#N/A","#N/A"
"1949:Q4","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","-14.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","-17.3","#N/A","#N/A"
"1950:Q1","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","#N/A","#N/A"
