"DATE","RGF70M1","RGF70M2","RGF70M3","RGF70M4","RGF70M5","RGF70M6","RGF70M7","RGF70M8","RGF70M9","RGF70M10","RGF70M11","RGF70M12","RGF71M1","RGF71M2","RGF71M3","RGF71M4","RGF71M5","RGF71M6","RGF71M7","RGF71M8","RGF71M9","RGF71M10","RGF71M11","RGF71M12","RGF72M1","RGF72M2","RGF72M3","RGF72M4","RGF72M5","RGF72M6","RGF72M7","RGF72M8","RGF72M9","RGF72M10","RGF72M11","RGF72M12","RGF73M1","RGF73M2","RGF73M3","RGF73M4","RGF73M5","RGF73M6","RGF73M7","RGF73M8","RGF73M9","RGF73M10","RGF73M11","RGF73M12","RGF74M1","RGF74M2","RGF74M3","RGF74M4","RGF74M5","RGF74M6","RGF74M7","RGF74M8","RGF74M9","RGF74M10","RGF74M11","RGF74M12","RGF75M1","RGF75M2","RGF75M3","RGF75M4","RGF75M5","RGF75M6","RGF75M7","RGF75M8","RGF75M9","RGF75M10","RGF75M11","RGF75M12","RGF76M1","RGF76M2","RGF76M3","RGF76M4","RGF76M5","RGF76M6","RGF76M7","RGF76M8","RGF76M9","RGF76M10","RGF76M11","RGF76M12","RGF77M1","RGF77M2","RGF77M3","RGF77M4","RGF77M5","RGF77M6","RGF77M7","RGF77M8","RGF77M9","RGF77M10","RGF77M11","RGF77M12","RGF78M1","RGF78M2","RGF78M3","RGF78M4","RGF78M5","RGF78M6","RGF78M7","RGF78M8","RGF78M9","RGF78M10","RGF78M11","RGF78M12","RGF79M1","RGF79M2","RGF79M3","RGF79M4","RGF79M5","RGF79M6","RGF79M7","RGF79M8","RGF79M9","RGF79M10","RGF79M11","RGF79M12"
"1949:Q3","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9"
"1949:Q4","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1"
"1950:Q1","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9"
"1950:Q2","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1"
"1950:Q3","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1"
"1950:Q4","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6"
"1951:Q1","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6"
"1951:Q2","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3"
"1951:Q3","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4"
"1951:Q4","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1"
"1952:Q1","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4"
"1952:Q2","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2"
"1952:Q3","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5","111.5"
"1952:Q4","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0"
"1953:Q1","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5"
