"DATE","IPM80M1","IPM80M2","IPM80M3","IPM80M4","IPM80M5","IPM80M6","IPM80M7","IPM80M8","IPM80M9","IPM80M10","IPM80M11","IPM80M12","IPM81M1","IPM81M2","IPM81M3","IPM81M4","IPM81M5","IPM81M6","IPM81M7","IPM81M8","IPM81M9","IPM81M10","IPM81M11","IPM81M12","IPM82M1","IPM82M2","IPM82M3","IPM82M4","IPM82M5","IPM82M6","IPM82M7","IPM82M8","IPM82M9","IPM82M10","IPM82M11","IPM82M12","IPM83M1","IPM83M2","IPM83M3","IPM83M4","IPM83M5","IPM83M6","IPM83M7","IPM83M8","IPM83M9","IPM83M10","IPM83M11","IPM83M12","IPM84M1","IPM84M2","IPM84M3","IPM84M4","IPM84M5","IPM84M6","IPM84M7","IPM84M8","IPM84M9","IPM84M10","IPM84M11","IPM84M12","IPM85M1","IPM85M2","IPM85M3","IPM85M4","IPM85M5","IPM85M6","IPM85M7","IPM85M8","IPM85M9","IPM85M10","IPM85M11","IPM85M12","IPM86M1","IPM86M2","IPM86M3","IPM86M4","IPM86M5","IPM86M6","IPM86M7","IPM86M8","IPM86M9","IPM86M10","IPM86M11","IPM86M12","IPM87M1","IPM87M2","IPM87M3","IPM87M4","IPM87M5","IPM87M6","IPM87M7","IPM87M8","IPM87M9","IPM87M10","IPM87M11","IPM87M12","IPM88M1","IPM88M2","IPM88M3","IPM88M4","IPM88M5","IPM88M6","IPM88M7","IPM88M8","IPM88M9","IPM88M10","IPM88M11","IPM88M12","IPM89M1","IPM89M2","IPM89M3","IPM89M4","IPM89M5","IPM89M6","IPM89M7","IPM89M8","IPM89M9","IPM89M10","IPM89M11","IPM89M12"
"1919:11","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5"
"1919:12","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3"
"1920:01","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4"
"1920:02","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4"
"1920:03","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2"
"1920:04","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4"
"1920:05","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8"
"1920:06","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8"
"1920:07","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4"
"1920:08","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4"
"1920:09","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2"
"1920:10","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6"
"1920:11","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4","9.4"
"1920:12","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8"
"1921:01","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3"
