"DATE","IPT70M1","IPT70M2","IPT70M3","IPT70M4","IPT70M5","IPT70M6","IPT70M7","IPT70M8","IPT70M9","IPT70M10","IPT70M11","IPT70M12","IPT71M1","IPT71M2","IPT71M3","IPT71M4","IPT71M5","IPT71M6","IPT71M7","IPT71M8","IPT71M9","IPT71M10","IPT71M11","IPT71M12","IPT72M1","IPT72M2","IPT72M3","IPT72M4","IPT72M5","IPT72M6","IPT72M7","IPT72M8","IPT72M9","IPT72M10","IPT72M11","IPT72M12","IPT73M1","IPT73M2","IPT73M3","IPT73M4","IPT73M5","IPT73M6","IPT73M7","IPT73M8","IPT73M9","IPT73M10","IPT73M11","IPT73M12","IPT74M1","IPT74M2","IPT74M3","IPT74M4","IPT74M5","IPT74M6","IPT74M7","IPT74M8","IPT74M9","IPT74M10","IPT74M11","IPT74M12","IPT75M1","IPT75M2","IPT75M3","IPT75M4","IPT75M5","IPT75M6","IPT75M7","IPT75M8","IPT75M9","IPT75M10","IPT75M11","IPT75M12","IPT76M1","IPT76M2","IPT76M3","IPT76M4","IPT76M5","IPT76M6","IPT76M7","IPT76M8","IPT76M9","IPT76M10","IPT76M11","IPT76M12","IPT77M1","IPT77M2","IPT77M3","IPT77M4","IPT77M5","IPT77M6","IPT77M7","IPT77M8","IPT77M9","IPT77M10","IPT77M11","IPT77M12","IPT78M1","IPT78M2","IPT78M3","IPT78M4","IPT78M5","IPT78M6","IPT78M7","IPT78M8","IPT78M9","IPT78M10","IPT78M11","IPT78M12","IPT79M1","IPT79M2","IPT79M3","IPT79M4","IPT79M5","IPT79M6","IPT79M7","IPT79M8","IPT79M9","IPT79M10","IPT79M11","IPT79M12"
"1919:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4"
"1919:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","14.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6","14.6"
"1920:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0"
"1920:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0"
"1920:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7"
"1920:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8"
"1920:05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2"
"1920:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4"
"1920:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0"
"1920:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1"
"1920:09","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5"
"1920:10","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9"
