"DATE","CUM79M8","CUM79M9","CUM79M10","CUM79M11","CUM79M12","CUM80M1","CUM80M2","CUM80M3","CUM80M4","CUM80M5","CUM80M6","CUM80M7","CUM80M8","CUM80M9","CUM80M10","CUM80M11","CUM80M12","CUM81M1","CUM81M2","CUM81M3","CUM81M4","CUM81M5","CUM81M6","CUM81M7","CUM81M8","CUM81M9","CUM81M10","CUM81M11","CUM81M12","CUM82M1","CUM82M2","CUM82M3","CUM82M4","CUM82M5","CUM82M6","CUM82M7","CUM82M8","CUM82M9","CUM82M10","CUM82M11","CUM82M12","CUM83M1","CUM83M2","CUM83M3","CUM83M4","CUM83M5","CUM83M6","CUM83M7","CUM83M8","CUM83M9","CUM83M10","CUM83M11","CUM83M12","CUM84M1","CUM84M2","CUM84M3","CUM84M4","CUM84M5","CUM84M6","CUM84M7","CUM84M8","CUM84M9","CUM84M10","CUM84M11","CUM84M12","CUM85M1","CUM85M2","CUM85M3","CUM85M4","CUM85M5","CUM85M6","CUM85M7","CUM85M8","CUM85M9","CUM85M10","CUM85M11","CUM85M12","CUM86M1","CUM86M2","CUM86M3","CUM86M4","CUM86M5","CUM86M6","CUM86M7","CUM86M8","CUM86M9","CUM86M10","CUM86M11","CUM86M12","CUM87M1","CUM87M2","CUM87M3","CUM87M4","CUM87M5","CUM87M6","CUM87M7","CUM87M8","CUM87M9","CUM87M10","CUM87M11","CUM87M12","CUM88M1","CUM88M2","CUM88M3","CUM88M4","CUM88M5","CUM88M6","CUM88M7","CUM88M8","CUM88M9","CUM88M10","CUM88M11","CUM88M12","CUM89M1","CUM89M2","CUM89M3","CUM89M4","CUM89M5","CUM89M6","CUM89M7","CUM89M8","CUM89M9","CUM89M10","CUM89M11","CUM89M12"
"1948:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2"
"1948:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3","79.3"
"1949:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9"
"1949:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9"
"1949:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9"
"1949:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2"
"1949:05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2"
"1949:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1"
"1949:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1"
"1949:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6"
"1949:09","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8"
